spot;product
10460;275
14203;1913
637369;628
739;46
1469174;1701
200;95
551847;2025
10556;161
46356;679
37023;3535
4296;1744
33107066;1236
3627;332
14567;423
3834187;1054
21437661;3971
3367841;583
160482;3950
357397;860
3779969;5264
256100;652
31367127;9952
5164711;489
33261;168
29333943;3916
4474361;21186
57200;1855
6823758;1870
7235624;1433
11220948;186345
38814296;15797
2001343;712
138695;343
36611820;4782
13215;572
4342532;2745
1470423;1635
8882;105
284114;1788
530853;282
8840052;2855
19320;928
1308;578
4041112;2314
21862733;1621
120379;3613
2099;225
3650;334
1372507;1150
25830248;2029
7552096;1071
1130;310
106364;818
109719;567
137773;1765
176001;462
16412297;1698
6683197;4588
83033;271
12541275;2330
11156;573
2654;358
78763;1586
902251;1185
4974409;14361
1431619;6148
11891;463
131411;495
52234;205
80241;418
292;86
7152636;3281
4091;97
23291;523
6978628;1020
4646;531
29933;695
15552499;1271
1642457;1318
85483;356
1784101;75921
503;296
40395;658
10303664;3383
31896;604
15642303;2504
15968346;4453
3160322;7607
7935059;1135
45489;423
288731;743
572;120
7;7
1710916;4799
5552;105
8407977;1936
285;242
105;55
215;61
77046;333
2117941;3236
5335586;13415
85823;1762
4919;292
89276;536
8540;429
35640483;2721
277184;8173
3688270;1869
214659;452
7841862;4882
287819;366
14467971;2609
1256241;1556
1107;136
3092833;3016
1591157;1048
9145;432
1420617;1568
10266;505
39004;409
595201;931
2177;157
23527;454
70674;764
3329;516
14199294;1329
395492;635
5540334;14982
4924625;1141
1014068;1581
111282;2224
10752606;1698
424535;10593
357364;629
6409807;2900
1730;283
499;75
8541790;1326
2332545;1799
328779;437
256106;3529
2132413;1184
3178;496
1383;1190
15330117;954
484;88
26019;175
165821;2204
1325748;1584
12211694;1802
3010929;648
73403;539
41799;496
6556998;735
17584550;2497
32911748;1588
21394;444
1248;537
16025;264
60412;285
3064763;9551
232996;372
13896;285
5611;152
5571508;2083
8328727;12952
40450;463
9315;450
176;127
51;45
331843;3666
2509;486
4677;400
220220;336
307092;996
3721174;3704
961336;2929
29256;981
60604;1121
153525;465
4977060;344
6829816;1185
10078311;10359
14825;232
14133695;2877
20776308;1558
148725;4628
7853;223
365;65
3210068;2432
30523;490
17639;372
21749524;2710
1772448;1958
49946;215
1374060;547
44231;1375
45656;376
12649;229
4070;233
4605171;6361
27118;465
216;67
1519058;1730
67323;1014
8739552;4822
27464457;6470
112829;819
6946;783
7171535;1884
260810;1369
154398;205
4078;438
5203;547
378844;668
54344;859
6100599;2196
890913;273
59628;1559
100;45
1046;191
41435;2633
284573;702
1178282;318
21366;915
20374859;3897
611983;592
3590336;1273
8377;409
3564454;5854
254;111
47;24
861;110
25648;535
3208446;2815
1246046;905
146;81
1755;143
