spot;product
0.149058;0.010693
0.327677;0.037984
13.9603;0.019232
0.016436;0.004476
34.2215;0.035689
0.006649;0.007762
13.4015;0.049107
0.155644;0.009943
0.627239;0.015347
0.802159;0.059478
0.059713;0.032317
782.338;0.027525
0.067893;0.013558
0.303806;0.012854
85.5299;0.026608
485.269;0.07491
93.9667;0.016788
2.5718;0.04571
9.68758;0.023603
130.507;0.079403
6.37185;0.019965
969.779;0.152669
172.938;0.01528
0.44004;0.009487
704.435;0.057151
114.497;0.302245
1.12768;0.037764
188.608;0.034039
199.579;0.034708
357.06;2.19996
1164.5;0.197418
56.6552;0.02056
2.12457;0.012287
878.75;0.100905
0.209408;0.014522
109.663;0.060699
35.8045;0.031259
0.115971;0.006547
8.38066;0.033997
11.4685;0.013146
294.244;0.053258
0.340413;0.024682
0.022305;0.014121
63.3008;0.034526
626.155;0.031493
2.75287;0.070131
0.030466;0.011107
0.046184;0.013299
36.9284;0.023686
832.003;0.034456
173.71;0.025296
0.017478;0.012191
1.97605;0.019347
1.7826;0.014699
2.45961;0.032249
3.08821;0.014299
497.592;0.030986
200.862;0.077774
1.7581;0.012433
257.944;0.038134
0.196149;0.015277
0.046682;0.012378
1.30569;0.029964
18.2937;0.024487
128.98;0.191867
37.4169;0.086828
0.164213;0.013475
2.52989;0.018552
0.76849;0.011259
1.32747;0.01524
0.009395;0.008837
182.01;0.057072
0.045017;0.007581
0.495603;0.01604
178.601;0.024571
0.070914;0.014399
0.41989;0.016127
521.362;0.027193
43.7838;0.02915
1.36513;0.01441
36.0188;0.782533
0.009067;0.009727
0.423829;0.017332
296.332;0.065511
0.452273;0.017194
417.474;0.043932
418.764;0.094993
123.044;0.122795
158.218;0.024994
0.921712;0.012912
8.3999;0.019019
0.010214;0.006314
0.000727;0.00134
36.551;0.073051
0.067123;0.007713
168.689;0.02781
0.006902;0.009102
0.006361;0.006708
0.008813;0.005653
1.34394;0.01368
44.0092;0.060697
175.75;0.201064
1.4886;0.033244
0.088755;0.010107
1.58606;0.016034
0.116635;0.013597
1014.01;0.056319
5.1411;0.112574
89.0011;0.03116
4.91119;0.014196
168.945;0.072569
6.55433;0.016916
432.099;0.050076
25.5985;0.034683
0.025362;0.007821
68.917;0.049631
38.8486;0.018606
0.155286;0.014499
25.3431;0.033186
0.113791;0.015265
0.707231;0.015696
14.8625;0.021187
0.037621;0.008851
0.347541;0.015611
1.04122;0.018283
0.04139;0.015393
363.361;0.028103
8.07319;0.021031
139.341;0.225001
91.8581;0.02124
22.2861;0.035434
3.23192;0.044125
238.988;0.035461
9.06071;0.167923
5.29197;0.015352
126.559;0.053116
0.025173;0.011794
0.016262;0.007768
196.836;0.02956
59.772;0.041995
5.99027;0.015937
5.82756;0.051578
46.1493;0.028306
0.052553;0.012631
0.019871;0.026322
363.696;0.023561
0.017164;0.0076
0.434905;0.009717
3.54323;0.042695
29.8159;0.033114
368.752;0.035414
74.5241;0.019762
1.62691;0.015317
0.95954;0.015778
153.281;0.019375
517.3;0.048944
753.68;0.032273
0.395581;0.016178
0.019572;0.013185
0.295307;0.011004
1.02303;0.013361
87.6867;0.146421
5.27011;0.014235
0.182424;0.012306
0.095062;0.009883
143.101;0.044714
245.42;0.176603
0.778557;0.016473
0.157731;0.014733
0.006082;0.009298
0.003193;0.003941
9.95469;0.084557
0.039128;0.011714
0.076219;0.014699
3.9426;0.012124
6.96482;0.017032
90.9895;0.066079
24.3121;0.060108
0.384379;0.01912
0.952793;0.025806
3.28168;0.014013
110.575;0.013867
273.088;0.029952
284.882;0.156026
0.266591;0.010282
394.653;0.041695
507.189;0.0285
2.28144;0.079388
0.121482;0.009218
0.007583;0.004679
92.9638;0.050658
0.489142;0.014569
0.261513;0.013979
726.734;0.058268
54.0333;0.038854
0.634025;0.010726
22.0499;0.01565
0.615384;0.028988
0.664047;0.014766
0.165576;0.010676
0.066729;0.01049
101.419;0.109737
0.357842;0.014604
0.006733;0.006554
44.9095;0.031923
1.35173;0.025352
318.745;0.073463
834.546;0.121132
2.30545;0.021963
0.094759;0.018268
247.309;0.035077
5.7783;0.033686
2.85973;0.010557
0.058055;0.012721
0.070111;0.01422
6.12638;0.019028
1.46751;0.022502
147.968;0.042585
15.7399;0.009882
0.863972;0.030636
0.00575;0.006187
0.012457;0.005953
0.876818;0.049323
7.17103;0.020062
23.2817;0.012401
0.399737;0.021423
774.456;0.047404
10.9078;0.018289
64.0258;0.030522
0.175944;0.014212
89.963;0.103052
0.007994;0.006289
0.003951;0.004428
0.01729;0.007188
0.428916;0.018307
82.3228;0.053119
20.4347;0.024617
0.005877;0.007029
0.034399;0.009951
