spot;product
413;144
50;49
1;1
6187;1574
1468;432
46;32
2008;851
120;71
783;718
18;19
148;64
604;624
66;57
296;174
231;76
44;58
559;287
178;101
209;183
59;37
310;345
40682;13955
4341;714722
433;44
36425;508
623;5776
1539;235
1549;147
19;21
16278;15656
81;26
12094;2931
383;373
4;5
349;192
10711;3505
51;39
122;70
124;1224
16789610;63104
1102;239
97690;14253
1362;294
294;245
468;156
31570;615362
37;64
126;98
22;21
111;90
74;99
20646;49070
249;234
7702;149
1050;3372
784356;938
2169;143
72930;3923
144;436
41283;2477
3459;94
160;392
37;36
12657;113329
1123033;29935
1642882;166560
3;3
2492250;555508
691;144
1572;581
2013;203
50;51
66;47
220;161
30;31
4710;1227
1962;1269
17606;688
115;117
361;379
1011776;39514
244179;2064
17470;2587
725330;862
6622;3437
113;285
294;197
201;473
27515401;126702
38;33
9268;1256
256;3550
70;56
909;662
61;121
221;139
126;1696
11795;1337
2315;1290
942;16027
837;122
2365;746
40071;50
4040343;23132
13257;6858
5437763;451705
689;232
51;44
11501;9976
187;106
107;240
87445;49712
39;34
241;91
4;4
139;31
411;229
5510;907
83218;3940
17;18
19;28
3119365;1117339
240;61
178;122
12360;2950
835;88
2908;379
29;30
22719;6064
42;36
441149;236595
275;196
213;289
25;21
19236253;16289
1081;877
37;38
82;31
541;1133
121;46
687271;4297
484408;310669
91;64
99398;1975
13491;224
87;54
10431;10257
14;39
1874;1431
27494;812
808;467
11825;70
19883;4627
9182;1390
51;37
19003;594
36406;83024
19;19
61;48
2249;1367
787;263
3447063;305869
5701;828
413;114
191;3897
45;36
1294;193
135;246
28;28
140;98
1149;294
345;144
34;51
92668;66253
141;550
293;123
92;76
1292610;1456
49;50
412;500
15528006;221986
491;71
241;3910
77;65
892;269
132538;319
85596;8338
211;8291
3419;1353
5121;1088
15374;14247
2007;770
47;38
215688;22736
15252;54904
1;1
528563;133095
198;115
7757;208
44;33
51;41
439;1188
22;16
257;84
273;77
249443;9236
4036;629
619;1276
556;295
45;527
12771163;43521
244;670
1702;137
45;46
9547;7075
1126;572
37311;1777
43;43
1993602;131985
32;33
1888;172
72;72
475;337
57;45
675240;1000
22;22
5;4
4992;2666
89;50
202;174
15;15
105;51
129;64
11790;7380
30360;2561
41;43
60;47
451;26593
24;25
362;41492
92;76
18371885;654
2340;739
4028;1175
17;25
638880;310807
90;1221
188;150
8117;216
1418;3411
3633;217347
4712;1639
550;384
923;300
604325;2805
10004;566
302;97
28480;548
707;229
183;108
24598;343
130;112
16111772;37953
306;89
115;59
102;469
32;34
59;44
64245;4455
261;148
267852;39025
41;41
48;56
355930;51839
4909;195
384;721
60;60
474;176
48529;2043
49;27
2593;687
1707;297
9964;6099
3148;765831
913;599
1;1
135;1528
149;138
55;42
401;196
9857;369
20503;377
4822;121
5855;198
118;146
1708;3768
169;67
77;66
55;55
461;680
7533139;8244
113;57
27365;2095
236460;16370
43165;139
258;162
75;209
12493;31381
37;98
395773;8920
763;175
105;108
26;25
237;140
82;38
4859;22301
1361;79
4950;1725
1094;445
631271;15283
1988;861
18;18
374;289
33;34
1225965;29790
127;87
679833;2148
176;1198
55552;7895
81;62
26;26
115;104
358;53
42;110
84;94
198;1171
516;890
1055;95
1658;184
5132;235
2842;7065
56;27
640021;375
142;79
1417;558
65101;166
1062218;27688
193;651
17776;16837
745;4889
1052;731
5;5
92216;693
6275;311
138;253
96;86
2399;178
28;39
16804;188429
89;72
1369;306
34;139
536;256
41;46
2092;41927
173855;173855
10596;13839
50743;1208
244;294
39;35
685;23108
737033;341987
1907;977
262;251
1317;486
13;20
2564;26432
416293;48630
198442;127
100761;90845
67;64
46;69
34;50
3078951;111051
561;247
116;136
35;46
1644;1219
7056045;3046
205;134
552188;113167
42;36
6440;1399
405;162
134;113
129656;253
352;240
586;241
15;17
2650;1410
13803;3842
5614;1076
1;1
66306;23488
62;72
100;51
33;46
379;1163
330;203
12908;10333
75344;2691
23112;11234
158;6659
549;494
1617;551
32;48
64;36
87;63
614;19574
1026;439
926992;645640
4566;303
30;41
49825;876156
24191;4109
37;74
3100439;50505
288;149
42;31
313;66
82;82
37543;118973
88;81
258;104
925;932
271;230
1138;658
57;42
140;104
103;86
63;64
536;278
112;89
107;3710
15214390;1780
511;361
539;1310
3527015;18804
96530;823
50389;2118
4878;1766
1595;394
24;26
3112;68113
14774;8413
225;109
26466;501
116;451
19;19
14185;7727
35;32
9392;865
745;543
47365;186769
150;140
29;47
192525;1451
246;190
224;55
265;1094
184;1564
265;78
3349;90
859;497
467;1364
45;47
6763;3920
169;548
6346;1708
26;42
197325;32081
713;6660
286;304
526;343
77;84
67;54
180;125
430061;603
69813;90771
585;114
5278812;8754
13968636;18994
23;23
4291;794
593070;9039
559;454
786;274
21254;64828
49;53
52530;9333
130;135
33;68
45;299
1229;260
191;129
270;153
96;781
412923;40995
85;156
190;70
6;6
1441316;193797
446;311
714;310
18;18
231;765
69;64
35;26
32399;616
2059;15927
10402;1039
1;1
78;70
114;75
14244320;14673
122370;7558
233359;205889
9757;52458
84;35
607;116
561684;24129
143976;6829
109;94
108;126
594;101
245;212
570276;243
15;16
777;539
245;372
408;54
71408;21415
34587;4131
3223;256
64;55
1365879;373
1087;411
93720;19548
31;32
3992885;4898
4553;6703
352;184
59;62
933;507
15195;562
14;15
4246;157
25;26
18;19
5703;1635
266;261
7788;1081
193;83
9728;2054
1796696;1544752
153;114
298817;397692
28;29
2509;2647
1458287;2271
38;65
54;71
1850;1140
114;74
48;36
59;42
42;69
51;94
408632;1833
385;116
3394;2728
1432;85
450;250
116;87
220436;10295
658339;45802
219;69
1386;2002
378811;1412
863;516
633737;20106
385;351
52;48
1434744;392
41;31
62;62
15;15
49;42
348;917
117;56
35;30
55;62
640;513
673;504
145;132
89225;31771
2011;686
15;26
1041;112
478;169
16800;372
9810;23175
4;3
1;1
15;27
6286;2588
174;1009
325;1061
2004;1981
4781;1301
15437;3277
35167;1755
356759;59749
151698;4576
1;1
3222;905
5102;17843
109;2613
281;822
174;197
1154;808
2518725;28218
15;15
187778;4166
361108;139042
505471;22389253
781911;46608
27;50
2007;1085
75579;414
9999;565
436;233
1541;505
86;81
22882;258
121;241
128;41
28755;16482
332;401
272032;1309383
3;3
34;43
347;184
104069;285
24976286;1610598
27;27
29;42
2971;932
40099;4743785
14633;2065
3;238
2;3
306;445
1;1
1143;246470
4998;747
771467;1622
207;142
135012;58229
70721;19428
2999399;958
38;49
881;445
66;79
14244;9190
578;564
4086;614
1511;197
3083;41261
112210;1733
1131;2497
43;40
596653;4792
110;146
114;92
4279;1490
637;474
2029;15500
108;157
12291;425108
88;74
1791421;24115
127;96
3872;2999
116;121
46;37
1;1
45;44
103;178
209;91
327429;34080
335477;9948
86;226
2180;303
18;35
70;34
270;429
69;53
122795;22027
55;55
3197685;449828
598;297
226031;4183
403;530
26;27
37;47
1;1
1909;7543
501;107
56;41
2923;968
26701;27743
249;99
1590;485
560;392
18;24
10566;5573
58;73
307;234
598669;5495
211;148
4599298;12179
11223;4425
179;134
1973;25207
1;1
1556;168
40;40
9731178;1226
40;34
12299;887
281266;168
383;383
550;318
170;190
77448;32098
1626;1106
138;158
16199;6017
1840;195
5078558;9980354
385;87
28;29
390;708
355;64
1029;14730
1561470;12810
5220;2589
73;96
773;2788
87;165
11862;6928
148;71
42;70
680;515
1065;128
58;45
460669;19525
548470;3721
2772;158
106;95
93;87
1385;250
225932;30134
265;154
1845;1032
1712;476
4213;10657
9078;879
124;56
21;21
380;174
3418;1903
53861;1079
18886514;1869
10;8
40;34
64;49
829;614
25;23
31;75
111;50
168;214
269;481
52;52
2181063;327
7266;30716
59;59
7008;405
100;73
97822;58035
1782;191363
3291;2234
10745;15325
1622;1455
46821;1433
140;186
1286;13423
51;176
1126;141
14;16
79;52
3673192;13879
23;31
1;1
804;124
1404;63
1285136;1505
220452;1360
912;218
1119;240
39;22
7419;25066
5;5
2879338;20836
24;20
23414;159
4920;34530
68;68
1337;542
186;178
273686;953
1110;497
3099;841
109;47
511;196
121;235
11690;1280
1278541;1514
22760;1112
22;20
201124;93281
63884;392
137;79
4946;4239
125;86
23;22
567;670
545;251
8037;209686
43521;5127
2984;859
26;42
30370;3543
22692;64
2223;741
7474;1397
52;43
369706;31234
184;121
30;34
26;40
920;371
103;147
30;30
650409;28373
140942;19054
815;267
72361;11563
15460805;3401
23;24
99;68
2439;367
366;173
17;20
139;141
30765;1022
1100;53
807;2748
2005;359
813;133
1;1
13692;1655
5880;3284
43;36
417;1425
712909;303
146;147
190;80
1750;1258
694;464
41;155
221;468
46;80
1;1
592999;110633
875;3718
35;34
48;152
25;25
24888;17766
511;655
530;1429
20794;3458
1072037;1026
230;52
3770656;323778
23536;615
248;146
18761;6077
11496;32181
695079;4920
28;28
71;51
50;39
130532;6040
446;533
805;7578
1426;720
289576;5372126
7276;7807
2222256;940701
4097507;16922
