aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkA/automaton153.hoa;15;False;False;220;0.008116;4;False;False;161;0.007831;8
temp_hoas/benchmarkA/automaton108.hoa;10;False;False;1087;0.020628;6;False;False;411;0.01606;8
temp_hoas/benchmarkA/automaton1289.hoa;11;False;False;1;0.000704;1;False;False;1;0.001153;1
temp_hoas/benchmarkA/automaton689.hoa;11;False;False;329;0.00735;4;False;False;152;0.010271;10
temp_hoas/benchmarkA/automaton1682.hoa;4;False;False;9750;0.187725;5;False;False;10787;0.116822;18
temp_hoas/benchmarkA/automaton225.hoa;7;False;False;109;0.002399;5;False;False;2613;0.071078;25
temp_hoas/benchmarkA/automaton1606.hoa;8;False;False;308;0.008499;6;False;False;183;0.010248;10
temp_hoas/benchmarkA/automaton1800.hoa;2;False;False;87;0.003464;6;False;False;83;0.004864;5
temp_hoas/benchmarkA/automaton1813.hoa;15;False;False;93920;2.01025;18;False;False;10805;1.26731;18
temp_hoas/benchmarkA/automaton1357.hoa;19;False;False;364928;8.06684;19;False;False;260594;5.93066;21
temp_hoas/benchmarkA/automaton24.hoa;6;False;False;90;0.002285;5;False;False;1221;0.03369;20
temp_hoas/benchmarkA/automaton1585.hoa;7;False;False;926;0.016263;8;False;False;993;0.025734;12
temp_hoas/benchmarkA/automaton1213.hoa;15;False;False;842;0.015342;6;False;False;391;0.016203;6
temp_hoas/benchmarkA/automaton1423.hoa;5;False;False;158;0.004677;7;False;False;163;0.011457;7
temp_hoas/benchmarkA/automaton781.hoa;3;False;False;314;0.009116;8;False;False;195;0.008786;6
temp_hoas/benchmarkA/automaton1844.hoa;6;False;False;766235;25.4533;9;False;False;22186;0.302811;21
temp_hoas/benchmarkA/automaton646.hoa;8;False;False;72;0.002719;5;False;False;1506;0.022023;15
temp_hoas/benchmarkA/automaton358.hoa;20;False;False;454566;8.92829;21;False;False;64994;0.689257;27
temp_hoas/benchmarkA/automaton1949.hoa;11;False;False;254;0.008067;10;False;False;204;0.011691;6
temp_hoas/benchmarkA/automaton280.hoa;2;False;False;85;0.002091;5;False;False;156;0.004847;6
temp_hoas/benchmarkA/automaton191.hoa;13;False;False;211;0.007554;6;False;False;148;0.009043;8
temp_hoas/benchmarkA/automaton1116.hoa;18;False;False;581;0.012473;6;False;False;496;0.02551;12
temp_hoas/benchmarkA/automaton1216.hoa;18;False;False;15171;0.423729;6;False;False;1207;0.050826;20
temp_hoas/benchmarkA/automaton1411.hoa;13;False;False;313;0.006824;4;False;False;249;0.011767;6
temp_hoas/benchmarkA/automaton709.hoa;11;False;False;567;0.010863;4;False;False;301;0.012306;12
temp_hoas/benchmarkA/automaton1670.hoa;12;False;False;487;0.010348;6;False;False;489;0.087567;8
temp_hoas/benchmarkA/automaton834.hoa;16;False;False;79562;2.78941;10;False;False;5223;0.102687;28
temp_hoas/benchmarkA/automaton1651.hoa;13;False;False;184;0.005073;7;False;False;2697;0.205428;35
temp_hoas/benchmarkA/automaton1031.hoa;13;False;False;29094;0.492718;17;False;False;4252530;46.9984;37
temp_hoas/benchmarkA/automaton730.hoa;12;False;False;431957;14.208;23;False;False;128632;2.8263;19
temp_hoas/benchmarkA/automaton1719.hoa;21;False;False;3714;0.056026;16;False;False;178;0.015185;14
temp_hoas/benchmarkA/automaton653.hoa;15;False;False;692;0.012265;7;False;False;8302;2.99668;38
temp_hoas/benchmarkA/automaton1818.hoa;20;False;False;16236;0.484244;24;False;False;5554;0.149326;42
temp_hoas/benchmarkA/automaton1367.hoa;9;False;False;435;0.007545;11;False;False;2023;0.030198;13
temp_hoas/benchmarkA/automaton941.hoa;3;False;False;1204;0.013017;11;False;False;21556;0.244649;22
temp_hoas/benchmarkA/automaton1545.hoa;7;False;False;336;0.007106;11;False;False;895;0.017883;14
temp_hoas/benchmarkA/automaton976.hoa;18;False;False;1417;0.019845;11;False;True;-1;-1;-1
temp_hoas/benchmarkA/automaton1439.hoa;21;False;False;79666;1.1781;18;False;False;4972;0.112879;18
temp_hoas/benchmarkA/automaton971.hoa;13;False;False;5800;0.117664;8;False;False;1242;0.032893;16
temp_hoas/benchmarkA/automaton11.hoa;13;False;True;-1;-1;-1;False;False;129105;1.31399;30
temp_hoas/benchmarkA/automaton847.hoa;9;False;False;41972;0.759231;15;False;False;50280;1.10679;15
temp_hoas/benchmarkA/automaton350.hoa;12;False;False;26834;0.480986;16;False;False;13811;0.141452;16
temp_hoas/benchmarkA/automaton413.hoa;15;False;False;169;0.004175;2;False;False;1;0.000727;1
temp_hoas/benchmarkA/automaton317.hoa;19;False;True;-1;-1;-1;False;False;45240;3.5775;33
temp_hoas/benchmarkA/automaton1538.hoa;20;False;False;481;0.009569;6;False;False;285;0.013409;10
temp_hoas/benchmarkA/automaton159.hoa;21;False;True;-1;-1;-1;False;False;22221;8.53387;29
temp_hoas/benchmarkA/automaton1409.hoa;11;False;False;457;0.009208;10;False;False;596;0.018384;14
temp_hoas/benchmarkA/automaton576.hoa;18;False;False;193032;2.54699;14;False;False;743;0.01659;8
temp_hoas/benchmarkA/automaton39.hoa;21;False;False;17776;0.268731;15;False;False;16837;0.31229;11
temp_hoas/benchmarkA/automaton400.hoa;2;False;False;818;0.018849;2;False;False;467;0.015;4
temp_hoas/benchmarkA/automaton1348.hoa;10;False;True;-1;-1;-1;False;False;7919426;142.839;20
temp_hoas/benchmarkA/automaton1097.hoa;19;False;False;176;0.005789;8;False;False;135;0.014987;12
temp_hoas/benchmarkA/automaton1759.hoa;21;False;False;73243;1.03893;18;False;False;10777;0.144906;18
temp_hoas/benchmarkA/automaton151.hoa;13;False;False;1317;0.027536;14;False;False;486;0.018449;24
temp_hoas/benchmarkA/automaton1557.hoa;19;False;False;28065;0.447593;17;False;False;5527;0.065572;28
temp_hoas/benchmarkA/automaton351.hoa;13;False;True;-1;-1;-1;False;False;19616;0.22894;37
temp_hoas/benchmarkA/automaton1432.hoa;14;False;False;291542;7.22562;21;False;False;10341235;131.195;34
temp_hoas/benchmarkA/automaton1170.hoa;12;False;False;1;0.000525;1;False;False;1;0.001218;1
