aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkB/automaton24.hoa;9;False;False;10460;0.149058;14;False;False;275;0.010693;14
temp_hoas/benchmarkB/automaton280.hoa;9;False;False;14203;0.327677;20;False;False;1913;0.037984;22
temp_hoas/benchmarkB/automaton225.hoa;9;False;False;637369;13.9603;26;False;False;628;0.019232;14
temp_hoas/benchmarkB/automaton351.hoa;9;False;False;739;0.016436;8;False;False;46;0.004476;2
temp_hoas/benchmarkB/automaton153.hoa;9;False;False;1469174;34.2215;18;False;False;1701;0.035689;18
temp_hoas/benchmarkB/automaton35.hoa;9;False;False;200;0.006649;8;False;False;95;0.007762;12
temp_hoas/benchmarkB/automaton350.hoa;9;False;False;551847;13.4015;24;False;False;2025;0.049107;24
temp_hoas/benchmarkB/automaton413.hoa;9;False;False;10556;0.155644;18;False;False;161;0.009943;16
temp_hoas/benchmarkB/automaton159.hoa;9;False;True;-1;-1;-1;False;False;14388;0.19504;22
temp_hoas/benchmarkB/automaton39.hoa;9;False;False;46356;0.627239;18;False;False;679;0.015347;14
temp_hoas/benchmarkB/automaton400.hoa;9;False;False;37023;0.802159;14;False;False;3535;0.059478;12
temp_hoas/benchmarkB/automaton151.hoa;9;False;False;4296;0.059713;14;False;False;1744;0.032317;18
temp_hoas/benchmarkB/automaton191.hoa;9;False;False;33107066;782.338;28;False;False;1236;0.027525;14
temp_hoas/benchmarkB/automaton141.hoa;9;False;False;3627;0.067893;18;False;False;332;0.013558;12
temp_hoas/benchmarkB/automaton11.hoa;9;False;True;-1;-1;-1;False;False;55036;0.796935;34
temp_hoas/benchmarkB/automaton358.hoa;9;False;True;-1;-1;-1;False;False;5107;0.070749;16
temp_hoas/benchmarkB/automaton317.hoa;9;False;True;-1;-1;-1;False;False;1997;0.041728;18
temp_hoas/benchmarkB/automaton386.hoa;9;False;False;14567;0.303806;14;False;False;423;0.012854;10
temp_hoas/benchmarkB/automaton108.hoa;9;False;True;-1;-1;-1;False;False;6017;0.102231;22
temp_hoas/benchmarkB/automaton15.hoa;9;False;True;-1;-1;-1;False;False;14518;0.204778;30
temp_hoas/benchmarkB/automaton261.hoa;9;False;False;3834187;85.5299;18;False;False;1054;0.026608;16
temp_hoas/benchmarkB/automaton49.hoa;9;False;False;21437661;485.269;24;False;False;3971;0.07491;20
temp_hoas/benchmarkB/automaton243.hoa;9;False;False;3367841;93.9667;26;False;False;583;0.016788;20
temp_hoas/benchmarkB/automaton221.hoa;9;False;True;-1;-1;-1;False;False;4226;0.078482;18
temp_hoas/benchmarkB/automaton368.hoa;9;False;False;160482;2.5718;18;False;False;3950;0.04571;16
temp_hoas/benchmarkB/automaton249.hoa;9;False;False;357397;9.68758;24;False;False;860;0.023603;16
temp_hoas/benchmarkB/automaton489.hoa;9;False;False;3779969;130.507;24;False;False;5264;0.079403;24
temp_hoas/benchmarkB/automaton485.hoa;9;False;True;-1;-1;-1;False;False;10527;0.173315;20
temp_hoas/benchmarkB/automaton45.hoa;9;False;True;-1;-1;-1;False;False;22234;0.327133;20
temp_hoas/benchmarkB/automaton417.hoa;9;False;False;256100;6.37185;32;False;False;652;0.019965;20
temp_hoas/benchmarkB/automaton331.hoa;9;False;True;-1;-1;-1;False;False;32144;0.486184;22
