aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkD/automaton1348.hoa;10;False;False;600;0.007122;5;False;False;600;0.019726;5
temp_hoas/benchmarkD/automaton108.hoa;10;False;False;11496;0.284605;18;False;False;32181;0.211311;42
temp_hoas/benchmarkD/automaton1682.hoa;4;False;False;148;0.004123;2;False;False;131;0.005678;2
temp_hoas/benchmarkD/automaton1606.hoa;8;False;False;62;0.001909;1;False;False;199;0.019469;14
temp_hoas/benchmarkD/automaton1357.hoa;19;False;False;2307;0.056797;4;False;False;1229;0.025312;14
temp_hoas/benchmarkD/automaton1800.hoa;2;False;False;4118;0.060571;2;False;False;1159;0.014544;4
temp_hoas/benchmarkD/automaton1813.hoa;15;False;False;42557;0.968454;9;False;False;119514;2.89488;11
temp_hoas/benchmarkD/automaton1289.hoa;11;False;False;147170;4.73201;8;False;False;14505;0.081017;26
temp_hoas/benchmarkD/automaton1031.hoa;13;False;False;147;0.005072;2;False;False;160;0.006742;2
temp_hoas/benchmarkD/automaton225.hoa;7;False;False;99398;4.99995;28;False;False;1975;0.170291;14
temp_hoas/benchmarkD/automaton24.hoa;6;False;False;12299;0.384192;7;False;False;887;0.09973;15
temp_hoas/benchmarkD/automaton1585.hoa;7;False;False;3102;0.054177;10;False;False;1516;0.02787;8
temp_hoas/benchmarkD/automaton1213.hoa;15;False;False;9866;0.214511;23;False;False;824;0.147391;13
temp_hoas/benchmarkD/automaton1423.hoa;5;False;False;4;0.004565;2;False;False;4;0.014971;2
temp_hoas/benchmarkD/automaton781.hoa;3;False;False;152;0.004214;6;False;False;257;0.008447;12
temp_hoas/benchmarkD/automaton689.hoa;11;False;False;518536;12.8314;5;False;False;4542;0.036678;13
temp_hoas/benchmarkD/automaton1997.hoa;19;False;False;10371;0.136858;9;False;False;10726;4.41798;11
temp_hoas/benchmarkD/automaton646.hoa;8;False;False;38198;1.07654;19;False;False;5;0.03641;1
temp_hoas/benchmarkD/automaton11.hoa;13;False;False;327429;12.3234;26;False;False;34080;0.354291;38
temp_hoas/benchmarkD/automaton358.hoa;20;False;False;23714;0.585171;14;False;False;1830;0.025215;22
temp_hoas/benchmarkD/automaton280.hoa;2;False;False;411;0.006973;9;False;False;229;0.006849;7
temp_hoas/benchmarkD/automaton153.hoa;15;False;False;1123033;31.3221;32;False;False;29935;0.225054;26
temp_hoas/benchmarkD/automaton1949.hoa;11;False;False;423348;18.8763;11;False;False;4033;0.530495;13
temp_hoas/benchmarkD/automaton1411.hoa;13;False;False;358989;27.2986;31;False;False;1110;0.251015;15
temp_hoas/benchmarkD/automaton709.hoa;11;False;False;236132;11.4232;21;False;False;65550;0.771897;35
temp_hoas/benchmarkD/automaton1670.hoa;12;False;False;129;0.004931;6;False;False;120;0.007965;14
temp_hoas/benchmarkD/automaton834.hoa;16;False;False;710725;22.037;20;False;False;2934;0.121338;20
temp_hoas/benchmarkD/automaton1651.hoa;13;False;False;583;0.013039;8;False;False;359;0.012293;12
temp_hoas/benchmarkD/automaton351.hoa;13;False;False;238294;6.92374;31;False;False;139361;3.31022;42
temp_hoas/benchmarkD/automaton730.hoa;12;False;False;2136927;88.6771;16;False;False;373622;6.1842;26
temp_hoas/benchmarkD/automaton159.hoa;21;False;False;16111772;869.227;31;False;False;37953;6.2;41
temp_hoas/benchmarkD/automaton653.hoa;15;False;False;2121167;87.5309;32;False;False;878645;29.309;36
temp_hoas/benchmarkD/automaton1818.hoa;20;False;False;218872;7.76846;24;False;False;307;0.181926;8
temp_hoas/benchmarkD/automaton1367.hoa;9;False;False;3885;0.10032;15;False;False;189;0.050645;5
temp_hoas/benchmarkD/automaton941.hoa;3;False;False;5;0.003792;2;False;False;5;0.030958;2
temp_hoas/benchmarkD/automaton1545.hoa;7;False;False;150;0.003039;6;False;False;128;0.020897;2
temp_hoas/benchmarkD/automaton317.hoa;19;False;False;75579;2.88624;15;False;False;414;0.092983;17
temp_hoas/benchmarkD/automaton1439.hoa;21;False;False;13496;0.253301;18;False;False;20474;0.121999;32
temp_hoas/benchmarkD/automaton1116.hoa;18;False;True;-1;-1;-1;False;False;975;0.539696;12
temp_hoas/benchmarkD/automaton35.hoa;17;False;False;3349;0.059781;15;False;False;90;0.047102;8
temp_hoas/benchmarkD/automaton847.hoa;9;False;False;3454893;102.751;20;False;False;27427;0.155699;16
temp_hoas/benchmarkD/automaton1719.hoa;21;False;True;-1;-1;-1;False;False;18177;1.53654;34
temp_hoas/benchmarkD/automaton350.hoa;12;False;False;1536020;63.3022;31;False;False;17860;0.882901;18
temp_hoas/benchmarkD/automaton1844.hoa;6;False;True;-1;-1;-1;False;False;6244;72.2418;13
temp_hoas/benchmarkD/automaton191.hoa;13;False;True;-1;-1;-1;False;False;578;4.40571;2
temp_hoas/benchmarkD/automaton976.hoa;18;True;False;-1;-1;-1;False;False;23802;1.1817;36
temp_hoas/benchmarkD/automaton1216.hoa;18;True;False;-1;-1;-1;False;False;1061;1.10538;16
temp_hoas/benchmarkD/automaton1409.hoa;11;False;False;1316137;66.9826;9;False;False;295;0.274273;2
temp_hoas/benchmarkD/automaton576.hoa;18;False;False;6806378;327.131;32;False;False;8184;0.11443;20
temp_hoas/benchmarkD/automaton400.hoa;2;False;False;63;0.001599;5;False;False;67;0.003127;5
temp_hoas/benchmarkD/automaton1538.hoa;20;False;True;-1;-1;-1;False;False;235104;1.36208;52
temp_hoas/benchmarkD/automaton971.hoa;13;True;False;-1;-1;-1;False;False;2347;0.585082;20
temp_hoas/benchmarkD/automaton1097.hoa;19;False;False;4221885;186.714;32;False;False;92521;0.598618;60
temp_hoas/benchmarkD/automaton15.hoa;17;False;False;18886514;1292.18;32;False;False;1869;0.98725;12
temp_hoas/benchmarkD/automaton1759.hoa;21;False;False;690872;27.1272;22;False;False;10121;0.08812;32
temp_hoas/benchmarkD/automaton151.hoa;13;False;False;1365879;91.1665;5;False;False;373;0.251821;2
temp_hoas/benchmarkD/automaton413.hoa;15;False;True;-1;-1;-1;False;False;262;0.097518;2
temp_hoas/benchmarkD/automaton1170.hoa;12;False;False;2922;0.106071;10;False;False;2280;0.058585;14
temp_hoas/benchmarkD/automaton1785.hoa;7;False;False;14516;0.407297;5;False;False;568;0.066137;11
temp_hoas/benchmarkD/automaton1541.hoa;3;False;False;3;0.003513;1;False;False;3;0.01734;1
temp_hoas/benchmarkD/automaton699.hoa;21;False;False;4304;0.098742;12;False;False;845;0.018296;24
temp_hoas/benchmarkD/automaton1773.hoa;15;False;False;21;0.001829;2;False;False;21;0.002777;2
temp_hoas/benchmarkD/automaton141.hoa;3;False;False;10566;0.272656;8;False;False;5573;0.063104;12
temp_hoas/benchmarkD/automaton1477.hoa;19;False;False;2;0.010473;1;False;False;3;0.20888;1
temp_hoas/benchmarkD/automaton45.hoa;7;False;False;34;0.003626;4;False;False;43;0.005043;6
temp_hoas/benchmarkD/automaton701.hoa;3;False;False;611;0.016131;5;False;False;402;0.010154;11
temp_hoas/benchmarkD/automaton1428.hoa;10;False;False;1168;0.020298;12;False;False;573;0.011212;12
temp_hoas/benchmarkD/automaton1220.hoa;2;False;False;1168;0.035657;2;False;False;176;0.01377;2
temp_hoas/benchmarkD/automaton563.hoa;5;False;False;134394;7.23401;25;False;False;263;0.054002;10
temp_hoas/benchmarkD/automaton1406.hoa;8;False;False;282365;14.9985;16;False;False;3918;0.177874;20
temp_hoas/benchmarkD/automaton485.hoa;7;False;False;254;0.007446;2;False;False;244;0.008184;2
temp_hoas/benchmarkD/automaton221.hoa;3;False;False;262;0.006776;3;False;False;251;0.008107;9
temp_hoas/benchmarkD/automaton1262.hoa;4;False;False;5;0.005638;2;False;False;4;0.027747;1
temp_hoas/benchmarkD/automaton1915.hoa;17;True;False;-1;-1;-1;False;False;3037;9.38996;12
temp_hoas/benchmarkD/automaton1138.hoa;20;False;False;5343819;213.084;24;False;False;2459;0.046001;24
temp_hoas/benchmarkD/automaton501.hoa;3;False;False;697;0.010875;11;False;False;2880;0.025693;20
temp_hoas/benchmarkD/automaton1600.hoa;2;False;False;668;0.021278;5;False;False;142;0.015044;7
temp_hoas/benchmarkD/automaton39.hoa;21;True;False;-1;-1;-1;False;False;2383;1.26133;11
temp_hoas/benchmarkD/automaton950.hoa;12;False;False;14920;0.21687;8;False;False;13626;0.484754;8
temp_hoas/benchmarkD/automaton1592.hoa;14;False;False;750377;32.9793;31;False;False;251;0.628676;5
temp_hoas/benchmarkD/automaton386.hoa;8;False;False;22283;0.51043;6;False;False;8737;0.105642;12
temp_hoas/benchmarkD/automaton331.hoa;13;False;False;640021;27.5641;5;False;False;375;1.48968;2
temp_hoas/benchmarkD/automaton769.hoa;11;False;False;1518;0.041255;19;False;False;3;0.093874;1
temp_hoas/benchmarkD/automaton613.hoa;15;False;False;19407;0.592287;8;False;False;5058;0.070237;20
temp_hoas/benchmarkD/automaton1643.hoa;5;False;False;648;0.011862;11;False;False;229;0.019761;7
temp_hoas/benchmarkD/automaton1432.hoa;14;True;False;-1;-1;-1;False;False;47003;1.98537;19
temp_hoas/benchmarkD/automaton737.hoa;19;False;False;1;0.000348;1;False;False;1;0.00124;1
temp_hoas/benchmarkD/automaton1681.hoa;3;False;False;103;0.002955;9;False;False;144;0.011384;9
temp_hoas/benchmarkD/automaton1253.hoa;15;False;False;14955934;810.248;31;False;False;984547;8.58437;47
temp_hoas/benchmarkD/automaton1421.hoa;3;False;False;729;0.018249;5;False;False;335;0.008827;11
temp_hoas/benchmarkD/automaton261.hoa;3;False;False;1468;0.034289;9;False;False;432;0.032529;9
temp_hoas/benchmarkD/automaton1557.hoa;19;True;False;-1;-1;-1;False;False;925;0.641084;10
temp_hoas/benchmarkD/automaton1420.hoa;2;False;False;359;0.010914;5;False;False;129;0.009569;9
temp_hoas/benchmarkD/automaton1866.hoa;8;False;False;87637;3.70175;2;False;False;326;0.169441;2
temp_hoas/benchmarkD/automaton274.hoa;16;False;False;737033;24.3623;24;False;False;341987;85.4329;24
temp_hoas/benchmarkD/automaton1418.hoa;20;False;False;1360;0.022567;14;False;False;1509;0.023173;26
temp_hoas/benchmarkD/automaton522.hoa;4;False;False;4732;0.126896;3;False;False;160;0.02099;2
temp_hoas/benchmarkD/automaton243.hoa;5;False;False;135;0.002904;7;False;False;246;0.032096;9
temp_hoas/benchmarkD/automaton519.hoa;21;False;True;-1;-1;-1;False;False;6396496;522.366;18
temp_hoas/benchmarkD/automaton1601.hoa;3;False;False;127;0.00248;9;False;False;157;0.012524;7
temp_hoas/benchmarkD/automaton636.hoa;18;False;False;6345;0.162941;14;False;False;22971;0.211723;44
temp_hoas/benchmarkD/automaton1872.hoa;14;False;False;17753;0.776618;8;False;False;1330;0.022284;20
temp_hoas/benchmarkD/automaton20.hoa;2;False;False;269;0.003559;9;False;False;481;0.017362;11
temp_hoas/benchmarkD/automaton1835.hoa;17;False;False;638;0.010951;6;False;False;403;0.01227;10
temp_hoas/benchmarkD/automaton1183.hoa;5;False;False;1636183;75.6902;5;False;False;8465;0.127229;15
temp_hoas/benchmarkD/automaton368.hoa;10;False;False;188715;4.85606;19;False;False;5764;0.356987;9
temp_hoas/benchmarkD/automaton1761.hoa;3;False;False;2918;0.083092;3;False;False;224;0.017925;2
temp_hoas/benchmarkD/automaton757.hoa;19;False;True;-1;-1;-1;False;False;1808;2.03797;13
temp_hoas/benchmarkD/automaton1623.hoa;5;False;False;34705;1.03197;10;False;False;9354;0.13968;12
temp_hoas/benchmarkD/automaton1049.hoa;11;False;False;1578;0.031814;6;False;False;371;0.010492;12
temp_hoas/benchmarkD/automaton249.hoa;11;False;False;23112;0.653154;9;False;False;11234;0.11747;19
temp_hoas/benchmarkD/automaton489.hoa;11;False;False;923;0.017377;10;False;False;762;0.038966;10
temp_hoas/benchmarkD/automaton627.hoa;9;False;False;88;0.003532;4;False;False;93;0.004173;4
temp_hoas/benchmarkD/automaton435.hoa;17;False;False;98;0.004473;4;False;False;86;0.007215;4
temp_hoas/benchmarkD/automaton1970.hoa;12;False;False;1;0.000485;1;False;False;1;0.001148;1
temp_hoas/benchmarkD/automaton125.hoa;7;False;False;72361;2.02062;14;False;False;11563;0.08114;18
temp_hoas/benchmarkD/automaton1521.hoa;3;False;False;429;0.005942;10;False;False;332;0.005721;16
temp_hoas/benchmarkD/automaton1720.hoa;2;False;False;1125;0.023691;7;False;False;1089;0.019122;13
temp_hoas/benchmarkD/automaton1672.hoa;14;False;False;155379;4.91165;14;False;False;130455;4.24196;14
temp_hoas/benchmarkD/automaton378.hoa;20;False;True;-1;-1;-1;False;False;3762962;26.6193;43
temp_hoas/benchmarkD/automaton107.hoa;9;False;False;7266;0.152421;20;False;False;30716;0.35322;18
