aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_product_unoptimiesed;memout_product_unoptimiesed;states_product_unoptimiesed;time_product_unoptimiesed;acc_product_unoptimiesed;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkE/automatonC156.hoa;18;False;False;413;0.023125;9;False;False;144;0.017432;12;False;False;176;0.014931;16;False;False;968;0.07605;13;False;False;1905;0.099407;15;False;False;7212;0.246059;19;False;False;198;0.015419;22
temp_hoas/benchmarkE/automatonD190.hoa;12;False;False;50;0.003523;6;False;False;49;0.005459;6;False;False;58;0.005548;14;False;False;62;0.006991;6;False;False;82;0.006713;8;False;False;51;0.003679;6;False;False;85;0.00521;12
temp_hoas/benchmarkE/automatonA50.hoa;12;False;False;1;0.000611;1;False;False;1;0.001714;1;False;False;1;0.001413;1;False;False;1;0.000703;1;False;False;1;0.001696;1;False;False;1;0.001093;1;False;False;1;0.001274;1
temp_hoas/benchmarkE/automatonA174.hoa;16;False;False;6187;0.113688;14;False;False;1574;0.033068;24;False;False;1574;0.024847;30;False;False;6222;0.184915;14;False;False;6777;0.206984;14;False;False;6187;0.112135;14;False;False;1242;0.032224;28
temp_hoas/benchmarkE/automatonD261.hoa;3;False;False;1468;0.034492;9;False;False;432;0.032405;9;False;False;3935;0.03208;25;False;False;6619;0.272242;18;False;False;4884;0.211551;10;False;False;5116;0.267492;8;False;False;725;0.034442;18
temp_hoas/benchmarkE/automatonC279.hoa;21;False;False;46;0.004695;4;False;False;32;0.012958;4;False;False;72;0.013086;16;False;False;86;0.021503;6;False;False;92;0.023325;6;False;False;61;0.010127;6;False;False;144;0.012676;17
temp_hoas/benchmarkE/automatonD144.hoa;6;False;False;2008;0.043817;2;False;False;851;0.017441;4;False;False;851;0.015631;6;False;False;1988;0.043646;2;False;False;2070;0.064861;2;False;False;2008;0.045345;2;False;False;673;0.017098;6
temp_hoas/benchmarkE/automatonC7.hoa;9;False;False;120;0.008235;7;False;False;71;0.009186;7;False;False;71;0.007406;9;False;False;139;0.015189;7;False;False;139;0.013473;7;False;False;404;0.016726;8;False;False;96;0.00797;11
temp_hoas/benchmarkE/automatonD222.hoa;4;False;False;783;0.015355;10;False;False;718;0.016055;10;False;False;718;0.014263;12;False;False;784;0.022338;10;False;False;824;0.024588;10;False;False;783;0.015414;10;False;False;811;0.018544;12
temp_hoas/benchmarkE/automatonC120.hoa;2;False;False;18;0.002252;4;False;False;19;0.00395;6;False;False;19;0.003509;10;False;False;18;0.003647;6;False;False;18;0.003868;6;False;False;47;0.004869;6;False;False;34;0.003502;8
temp_hoas/benchmarkE/automatonC269.hoa;11;False;False;148;0.010899;5;False;False;64;0.01144;11;False;False;64;0.010321;13;False;False;221;0.016618;7;False;False;605;0.037081;7;False;False;849;0.032285;8;False;False;137;0.01117;17
temp_hoas/benchmarkE/automatonD171.hoa;13;False;False;604;0.008095;11;False;False;624;0.019215;11;False;False;1734;0.017295;33;False;False;624;0.00724;11;False;False;2640;0.079817;19;False;False;4384;0.109964;20;False;False;1047;0.019968;28
temp_hoas/benchmarkE/automatonC3.hoa;5;False;False;66;0.006082;4;False;False;57;0.009942;6;False;False;57;0.0072;8;False;False;156;0.012376;6;False;False;156;0.012121;6;False;False;155;0.008534;6;False;False;90;0.007793;9
temp_hoas/benchmarkE/automatonA17.hoa;19;False;False;296;0.00709;6;False;False;174;0.012185;10;False;False;174;0.010414;14;False;False;307;0.015393;6;False;False;320;0.013776;6;False;False;296;0.007154;6;False;False;432;0.012801;14
temp_hoas/benchmarkE/automatonC328.hoa;10;False;False;231;0.0109;7;False;False;76;0.012524;9;False;False;79;0.011255;13;False;False;374;0.03265;7;False;False;370;0.03251;11;False;False;524;0.026371;9;False;False;136;0.012784;17
temp_hoas/benchmarkE/automatonC150.hoa;12;False;False;44;0.005528;6;False;False;58;0.009384;10;False;False;58;0.008186;12;False;False;127;0.014696;8;False;False;128;0.016473;8;False;False;120;0.008101;8;False;False;116;0.008948;15
