aut;old_acc;timeout_limited;memout_limited;states_limited;time_limited;acc_limited;timeout_product;memout_product;states_product;time_product;acc_product
temp_hoas/benchmarkF/automaton689.hoa;11;False;False;3;0.062986;1;False;False;3;0.065587;1
temp_hoas/benchmarkF/automaton1682.hoa;4;False;False;1335;0.041913;6;False;False;1676;0.04097;4
temp_hoas/benchmarkF/automaton225.hoa;27;False;False;1122;1.44461;8;False;False;1122;1.61597;8
temp_hoas/benchmarkF/automaton1813.hoa;15;False;False;2567;3.40873;16;False;False;2567;3.82242;16
temp_hoas/benchmarkF/automaton1606.hoa;8;False;False;59796;3.29072;37;False;False;31389;9.53884;17
temp_hoas/benchmarkF/automaton1800.hoa;2;False;False;4;0.051539;1;False;False;4;0.052671;1
temp_hoas/benchmarkF/automaton1348.hoa;30;False;False;78918;5.34585;47;False;False;2168388;16.3793;42
temp_hoas/benchmarkF/automaton1844.hoa;6;False;False;9314;0.445407;29;False;False;8502;0.440498;17
temp_hoas/benchmarkF/automaton1357.hoa;39;False;False;86905;9.49984;127;False;False;6025;5.85089;10
temp_hoas/benchmarkF/automaton976.hoa;18;False;False;9575;0.396455;90;False;False;1777;0.814806;15
temp_hoas/benchmarkF/automaton11.hoa;13;False;False;93758;3.48783;42;False;False;583822;5.31925;38
temp_hoas/benchmarkF/automaton1585.hoa;27;False;False;67781;3.34002;53;False;False;257035;4.25417;48
temp_hoas/benchmarkF/automaton24.hoa;26;False;False;69930;6.24943;135;False;False;7974;4.95246;27
temp_hoas/benchmarkF/automaton1213.hoa;15;False;False;57282;2.81387;48;False;False;117042;2.66347;32
temp_hoas/benchmarkF/automaton1423.hoa;25;False;False;55472;7.38551;151;False;False;1027;1.86794;15
temp_hoas/benchmarkF/automaton153.hoa;35;False;False;28152;1.53357;93;False;False;5592421;46.2236;75
temp_hoas/benchmarkF/automaton646.hoa;8;False;False;4343;0.169099;36;False;False;2779;0.230676;22
temp_hoas/benchmarkF/automaton781.hoa;23;False;False;58069;4.9413;100;False;False;4022;4.75113;14
temp_hoas/benchmarkF/automaton108.hoa;30;False;False;211920;19.3801;90;False;False;17556;49.3718;23
temp_hoas/benchmarkF/automaton280.hoa;2;False;False;1472;0.063185;15;False;False;1472;0.067637;15
temp_hoas/benchmarkF/automaton1031.hoa;33;False;False;353339;40.3843;144;False;False;19294;28.0767;13
temp_hoas/benchmarkF/automaton1116.hoa;38;False;False;58549;6.52833;151;False;False;1141;2.93924;13
temp_hoas/benchmarkF/automaton1216.hoa;18;False;False;74402;3.80241;73;False;False;863;2.18462;12
temp_hoas/benchmarkF/automaton1949.hoa;31;False;False;421292;35.8004;103;False;False;16746;28.7425;18
temp_hoas/benchmarkF/automaton1411.hoa;13;False;False;155045;6.61187;37;False;False;405682;6.90971;30
temp_hoas/benchmarkF/automaton1289.hoa;11;False;False;346;79.8623;2;False;False;346;82.207;2
temp_hoas/benchmarkF/automaton834.hoa;36;False;False;102114;9.67208;115;False;False;10231;9.98136;13
temp_hoas/benchmarkF/automaton1651.hoa;13;False;False;8975;0.376863;66;False;False;1405;0.34569;15
temp_hoas/benchmarkF/automaton351.hoa;33;False;False;406;22.505;2;False;False;406;23.6841;2
temp_hoas/benchmarkF/automaton730.hoa;12;False;False;38534;1.8498;31;False;False;120331;2.18242;26
temp_hoas/benchmarkF/automaton159.hoa;41;False;False;595121;134.307;144;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton653.hoa;15;False;False;183;1.03936;11;False;False;183;1.11326;11
temp_hoas/benchmarkF/automaton1818.hoa;20;False;False;86708;7.09011;89;False;False;3146;8.36461;15
temp_hoas/benchmarkF/automaton1367.hoa;9;False;False;3331;0.142553;31;False;False;1498;0.138934;12
temp_hoas/benchmarkF/automaton709.hoa;31;False;False;1769285;218.601;115;False;False;301789;295.572;18
temp_hoas/benchmarkF/automaton1545.hoa;27;False;False;84114;8.58377;105;False;False;2529;5.01983;14
temp_hoas/benchmarkF/automaton317.hoa;39;False;False;12966;0.926653;130;False;False;1408;0.624352;14
temp_hoas/benchmarkF/automaton191.hoa;33;False;False;989930;145.637;141;False;False;35374;440.344;15
temp_hoas/benchmarkF/automaton971.hoa;13;False;False;12840;0.703882;83;False;False;3128;1.01861;19
temp_hoas/benchmarkF/automaton1719.hoa;41;False;False;981236;255.867;142;False;False;13741;205.784;26
temp_hoas/benchmarkF/automaton847.hoa;9;False;False;194;0.393651;11;False;False;194;0.438438;11
temp_hoas/benchmarkF/automaton350.hoa;32;False;False;876;7.80109;9;False;False;875;8.79549;9
temp_hoas/benchmarkF/automaton413.hoa;15;False;False;16991;1.16376;92;False;False;990;0.64505;13
temp_hoas/benchmarkF/automaton15.hoa;17;False;False;55660;3.20921;27;False;False;11668;5.89471;12
temp_hoas/benchmarkF/automaton941.hoa;23;False;False;160955;16.6587;82;False;False;78110;106.467;36
temp_hoas/benchmarkF/automaton1538.hoa;20;False;False;16283;11.0712;66;False;False;3797;5.92943;22
temp_hoas/benchmarkF/automaton1409.hoa;11;False;False;4005;0.180795;38;False;False;680;0.184261;10
temp_hoas/benchmarkF/automaton576.hoa;18;False;False;127273;9.05045;68;False;False;57579;12.1497;20
temp_hoas/benchmarkF/automaton1915.hoa;37;False;False;4;19.747;1;False;False;4;20.6035;1
temp_hoas/benchmarkF/automaton400.hoa;2;False;False;3;0.028641;1;False;False;3;0.029742;1
temp_hoas/benchmarkF/automaton39.hoa;41;False;False;100671;14.9783;103;False;False;968;5.69977;16
temp_hoas/benchmarkF/automaton1097.hoa;19;False;False;1268;2.67918;12;False;False;1268;2.9835;12
temp_hoas/benchmarkF/automaton1759.hoa;41;False;False;202792;15.3617;98;False;False;97988;22.8389;72
temp_hoas/benchmarkF/automaton1670.hoa;32;False;False;673086;120.416;133;False;False;25640;650.218;13
temp_hoas/benchmarkF/automaton1997.hoa;39;False;False;441398;42.4452;95;False;False;1351878;985.87;30
temp_hoas/benchmarkF/automaton1557.hoa;39;False;False;127451;13.9845;168;False;False;10662;315.364;14
temp_hoas/benchmarkF/automaton49.hoa;11;False;False;379913;34.1409;41;False;False;375979;85.9689;23
temp_hoas/benchmarkF/automaton1170.hoa;12;False;False;13586;0.783535;54;False;False;1256;0.726368;14
temp_hoas/benchmarkF/automaton1785.hoa;27;False;False;109938;15.7779;117;False;False;8199;10.2874;13
temp_hoas/benchmarkF/automaton1541.hoa;23;False;False;197294;21.3677;95;False;False;2995;22.0529;10
temp_hoas/benchmarkF/automaton699.hoa;21;False;False;41461;1.99016;56;False;False;11045;2.03802;21
temp_hoas/benchmarkF/automaton1773.hoa;15;False;False;35203;1.63938;35;False;False;2493;1.62438;14
temp_hoas/benchmarkF/automaton141.hoa;23;False;False;11749;0.512376;78;False;False;1254;0.37758;9
temp_hoas/benchmarkF/automaton358.hoa;40;False;False;1376753;192.776;118;True;False;-1;-1;-1
temp_hoas/benchmarkF/automaton45.hoa;7;False;False;450;0.062157;2;False;False;450;0.069627;2
temp_hoas/benchmarkF/automaton701.hoa;23;False;False;16799;1.10729;103;False;False;1177;0.731717;17
temp_hoas/benchmarkF/automaton1428.hoa;30;False;False;44118;3.04826;83;False;False;12876;9.69534;30
temp_hoas/benchmarkF/automaton1220.hoa;22;False;False;10641;0.571513;48;False;False;441;0.45587;9
temp_hoas/benchmarkF/automaton563.hoa;5;False;False;3;0.037483;1;False;False;3;0.038874;1
temp_hoas/benchmarkF/automaton1406.hoa;8;False;False;226;0.102122;2;False;False;226;0.106898;2
temp_hoas/benchmarkF/automaton485.hoa;7;False;False;4086;0.105956;23;False;False;13139;0.147321;20
temp_hoas/benchmarkF/automaton519.hoa;41;False;False;257258;30.6424;123;False;False;63497;847.445;22
temp_hoas/benchmarkF/automaton1439.hoa;41;False;False;926227;119.246;165;False;True;-1;-1;-1
temp_hoas/benchmarkF/automaton1253.hoa;15;False;False;16289;0.867891;93;False;False;898;0.532843;2
temp_hoas/benchmarkF/automaton1138.hoa;20;False;False;18324;1.2148;102;False;False;370;0.550904;2
