aut;old_acc;timeout_spot;memout_spot;states_spot;time_spot;acc_spot;timeout_product;memout_product;states_product;time_product;acc_product;timeout_me1;memout_me1;states_me1;time_me1;acc_me1;timeout_me2;memout_me2;states_me2;time_me2;acc_me2;timeout_me3;memout_me3;states_me3;time_me3;acc_me3;timeout_limited;memout_limited;states_limited;time_limited;acc_limited
temp_hoas/benchmarkG/automaton11.hoa;24;False;False;-1;-1;-1;False;False;47;206.287;1;False;False;3129610;24.0803;1;False;False;3129610;24.2769;1;False;False;3129610;24.3413;1;False;False;47;110.896;1
temp_hoas/benchmarkG/automaton15.hoa;32;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton24.hoa;50;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton20.hoa;42;True;False;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton49.hoa;100;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton45.hoa;92;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton35.hoa;72;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton39.hoa;80;True;False;-1;-1;-1;False;True;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;True;False;-1;-1;-1;False;True;-1;-1;-1
temp_hoas/benchmarkG/automaton8.hoa;18;False;False;-1;-1;-1;False;False;35;3.72967;1;False;False;89677;0.66518;1;False;False;89677;0.664193;1;False;False;89677;0.668181;1;False;False;35;2.21777;1
temp_hoas/benchmarkG/automaton10.hoa;22;False;False;-1;-1;-1;False;False;43;43.6894;1;False;False;964479;6.58438;1;False;False;964479;6.58726;1;False;False;964479;6.59411;1;False;False;43;25.4301;1
